  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  2.1219104D+29  2.3110439D+09  2.5289883D+13  1.7683199D+04  3.3038316D+00  4.0685372D+06  4.12043D-01  4.12043D-01  1.61040D+34
  2.0081868D+29  2.2587933D+09  2.5738605D+13  1.7811418D+04  3.3308370D+00  4.0839948D+06  4.09543D-01  4.09543D-01  1.68246D+34
  1.8974722D+29  2.2059329D+09  2.6192121D+13  1.7938905D+04  3.3579254D+00  4.0993978D+06  4.07127D-01  4.07127D-01  1.76104D+34
  1.7898303D+29  2.1524351D+09  2.6650658D+13  1.8065737D+04  3.3851090D+00  4.1147577D+06  4.04791D-01  4.04791D-01  1.84685D+34
  1.6853253D+29  2.0982697D+09  2.7114489D+13  1.8192000D+04  3.4124021D+00  4.1300871D+06  4.02533D-01  4.02533D-01  1.94068D+34
  1.5840213D+29  2.0434045D+09  2.7583942D+13  1.8317792D+04  3.4398219D+00  4.1454100D+06  4.00347D-01  4.00347D-01  2.04344D+34
  1.4859829D+29  1.9878046D+09  2.8059415D+13  1.8443213D+04  3.4673888D+00  4.1603209D+06  3.97650D-01  3.97650D-01  2.15614D+34
  1.3912552D+29  1.9314204D+09  2.8541489D+13  1.8568028D+04  3.4951458D+00  4.1745693D+06  3.94261D-01  3.94261D-01  2.28016D+34
  1.2999045D+29  1.8742103D+09  2.9030753D+13  1.8692348D+04  3.5231250D+00  4.1888302D+06  3.90970D-01  3.90970D-01  2.41685D+34
  1.2119997D+29  1.8161306D+09  2.9527910D+13  1.8816340D+04  3.5513625D+00  4.2031119D+06  3.87773D-01  3.87773D-01  2.56772D+34
  1.1276103D+29  1.7571340D+09  3.0033815D+13  1.8940197D+04  3.5799018D+00  4.2174755D+06  3.84658D-01  3.84658D-01  2.73446D+34
  1.0468060D+29  1.6971696D+09  3.0549516D+13  1.9064143D+04  3.6087954D+00  4.2319438D+06  3.81624D-01  3.81624D-01  2.91895D+34
  9.6965742D+28  1.6361827D+09  3.1076299D+13  1.9188447D+04  3.6381085D+00  4.2464818D+06  3.78683D-01  3.78683D-01  3.12327D+34
  8.9623559D+28  1.5741146D+09  3.1615758D+13  1.9313429D+04  3.6679206D+00  4.2612199D+06  3.75805D-01  3.75805D-01  3.34967D+34
  8.2661205D+28  1.5109023D+09  3.2169874D+13  1.9439469D+04  3.6983298D+00  4.2762087D+06  3.72982D-01  3.72982D-01  3.60054D+34
  7.6085897D+28  1.4464799D+09  3.2741137D+13  1.9567030D+04  3.7294588D+00  4.2915101D+06  3.70208D-01  3.70208D-01  3.87836D+34
  6.9904896D+28  1.3807785D+09  3.3332692D+13  1.9696687D+04  3.7614616D+00  4.3072012D+06  3.67476D-01  3.67476D-01  4.18551D+34
  6.4125494D+28  1.3137286D+09  3.3948559D+13  1.9829151D+04  3.7945341D+00  4.3233790D+06  3.64775D-01  3.64775D-01  4.52410D+34
  5.8754954D+28  1.2452629D+09  3.4593917D+13  1.9965323D+04  3.8289269D+00  4.3400996D+06  3.61949D-01  3.61949D-01  4.89562D+34
  5.3800119D+28  1.1753167D+09  3.5275565D+13  2.0106230D+04  3.8649703D+00  4.3574327D+06  3.58908D-01  3.58908D-01  5.30062D+34
  4.9267819D+28  1.1038433D+09  3.6002437D+13  2.0253300D+04  3.9030928D+00  4.3756253D+06  3.55728D-01  3.55728D-01  5.73778D+34
  4.5164284D+28  1.0308227D+09  3.6786480D+13  2.0408364D+04  3.9438639D+00  4.3947992D+06  3.52314D-01  3.52314D-01  6.20324D+34
  4.1494713D+28  9.5628209D+08  3.7643866D+13  2.0573819D+04  3.9880489D+00  4.4152332D+06  3.48598D-01  3.48598D-01  6.68960D+34
  3.8262513D+28  8.8032532D+08  3.8596749D+13  2.0752827D+04  4.0366849D+00  4.4372619D+06  3.44493D-01  3.44493D-01  7.18499D+34
  3.8262513D+28  8.8032532D+08  3.8596749D+13  0.0000000D+00  9.4249293D+00  3.1398169D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.7305950D+28  8.6979628D+08  3.8922148D+13  0.0000000D+00  9.4578569D+00  3.1473888D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.6349387D+28  8.5904429D+08  3.9255235D+13  0.0000000D+00  9.4913991D+00  3.1551125D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.5392825D+28  8.4805599D+08  3.9596537D+13  0.0000000D+00  9.5255990D+00  3.1629989D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.4436262D+28  8.3681670D+08  3.9946640D+13  0.0000000D+00  9.5605044D+00  3.1710600D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.3479699D+28  8.2531024D+08  4.0306201D+13  0.0000000D+00  9.5961687D+00  3.1793095D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.2523136D+28  8.1351871D+08  4.0675957D+13  0.0000000D+00  9.6326521D+00  3.1877625D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.1566573D+28  8.0142224D+08  4.1056742D+13  0.0000000D+00  9.6700225D+00  3.1964363D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.0610010D+28  7.8899864D+08  4.1449505D+13  0.0000000D+00  9.7083568D+00  3.2053505D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.9653448D+28  7.7622304D+08  4.1855327D+13  0.0000000D+00  9.7477429D+00  3.2145273D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.8696885D+28  7.6306744D+08  4.2275456D+13  0.0000000D+00  9.7882817D+00  3.2239924D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.7740322D+28  7.4950009D+08  4.2711335D+13  0.0000000D+00  9.8300898D+00  3.2337755D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.6783759D+28  7.3548481D+08  4.3164649D+13  0.0000000D+00  9.8733033D+00  3.2439114D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.5827196D+28  7.2098007D+08  4.3637383D+13  0.0000000D+00  9.9180819D+00  3.2544406D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.4870633D+28  7.0593786D+08  4.4131897D+13  0.0000000D+00  9.9646152D+00  3.2654118D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.3914071D+28  6.9030216D+08  4.4651025D+13  0.0000000D+00  1.0013130D+01  3.2768831D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.2957508D+28  6.7400704D+08  4.5198217D+13  0.0000000D+00  1.0063902D+01  3.2889251D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.2000945D+28  6.5697406D+08  4.5777722D+13  0.0000000D+00  1.0117269D+01  3.3016248D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.1044382D+28  6.3910870D+08  4.6394862D+13  0.0000000D+00  1.0173654D+01  3.3150910D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.0087819D+28  6.2029555D+08  4.7056423D+13  0.0000000D+00  1.0233591D+01  3.3294623D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.9131257D+28  6.0039126D+08  4.7771235D+13  0.0000000D+00  1.0297776D+01  3.3449186D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.9131257D+28  6.0039126D+08  4.7771235D+13  0.0000000D+00  1.9713956D+01  2.4618922D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.6266728D+28  5.6676541D+08  5.0078680D+13  0.0000000D+00  2.0089736D+01  2.4940777D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.3703435D+28  5.3351537D+08  5.2291657D+13  0.0000000D+00  2.0441214D+01  2.5243700D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.1424643D+28  5.0060538D+08  5.4404883D+13  0.0000000D+00  2.0769126D+01  2.5528369D+06  0.00000D+00  0.00000D+00  0.00000D+00
  9.4136158D+27  4.6800304D+08  5.6413451D+13  0.0000000D+00  2.1074136D+01  2.5795267D+06  0.00000D+00  0.00000D+00  0.00000D+00
  7.6536183D+27  4.3567881D+08  5.8312813D+13  0.0000000D+00  2.1356846D+01  2.6044728D+06  0.00000D+00  0.00000D+00  0.00000D+00
  6.1279152D+27  4.0360561D+08  6.0098767D+13  0.0000000D+00  2.1617803D+01  2.6276973D+06  0.00000D+00  0.00000D+00  0.00000D+00
  4.8197713D+27  3.7175845D+08  6.1767448D+13  0.0000000D+00  2.1857508D+01  2.6492134D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.7124512D+27  3.4011417D+08  6.3315311D+13  0.0000000D+00  2.2076414D+01  2.6690278D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.7892195D+27  3.0865118D+08  6.4739129D+13  0.0000000D+00  2.2274936D+01  2.6871422D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.0333410D+27  2.7734925D+08  6.6035982D+13  0.0000000D+00  2.2453446D+01  2.7035551D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.4280804D+27  2.4618930D+08  6.7203246D+13  0.0000000D+00  2.2612279D+01  2.7182626D+06  0.00000D+00  0.00000D+00  0.00000D+00
  9.5670229D+26  2.1515326D+08  6.8238593D+13  0.0000000D+00  2.2751733D+01  2.7312594D+06  0.00000D+00  0.00000D+00  0.00000D+00
  6.0247141D+26  1.8422391D+08  6.9139980D+13  0.0000000D+00  2.2872069D+01  2.7425394D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.4865244D+26  1.5338476D+08  6.9905646D+13  0.0000000D+00  2.2973512D+01  2.7520965D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.7851005D+26  1.2261989D+08  7.0534110D+13  0.0000000D+00  2.3056252D+01  2.7599250D+06  0.00000D+00  0.00000D+00  0.00000D+00
  7.5308926D+25  9.1913895D+07  7.1024162D+13  0.0000000D+00  2.3120446D+01  2.7660196D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.2313756D+25  6.1251725D+07  7.1374867D+13  0.0000000D+00  2.3166212D+01  2.7703761D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.7892195D+24  3.0618619D+07  7.1585557D+13  0.0000000D+00  2.3193638D+01  2.7729913D+06  0.00000D+00  0.00000D+00  0.00000D+00
  0.0000000D+00  0.0000000D+00  7.1655831D+13  0.0000000D+00  2.3202774D+01  2.7738633D+06  0.00000D+00  0.00000D+00  0.00000D+00
