M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8985486D+30  6.9547386D+09  2.5392100D+08  8.9468399D+02  7.9705156D-03  2.1627239D+05  2.89028D-01  2.89028D-01  2.75776D+33
  1.8985374D+30  6.9525558D+09  2.9937191D+08  9.3819393D+02  8.9150813D-03  2.2235751D+05  2.87589D-01  2.87588D-01  2.68893D+33
  1.8985242D+30  6.9502518D+09  3.5306512D+08  9.8364949D+02  9.9707565D-03  2.2861116D+05  2.86030D-01  2.86030D-01  2.62443D+33
  1.8985086D+30  6.9478192D+09  4.1651315D+08  1.0311232D+03  1.1149721D-02  2.3521204D+05  2.84242D-01  2.84242D-01  2.56408D+33
  1.8984903D+30  6.9452484D+09  4.9155140D+08  1.0806627D+03  1.2467318D-02  2.4203797D+05  2.82319D-01  2.82319D-01  2.50818D+33
  1.8984685D+30  6.9425302D+09  5.8033768D+08  1.1323339D+03  1.3938521D-02  2.4913493D+05  2.80154D-01  2.80154D-01  2.45662D+33
  1.8984429D+30  6.9396534D+09  6.8547962D+08  1.1861824D+03  1.5582044D-02  2.5666698D+05  2.77889D-01  2.77889D-01  2.40962D+33
  1.8984125D+30  6.9366071D+09  8.1004513D+08  1.2422739D+03  1.7416064D-02  2.6445313D+05  2.75456D-01  2.75456D-01  2.36705D+33
  1.8983766D+30  6.9333785D+09  9.5774094D+08  1.3006520D+03  1.9461808D-02  2.7278663D+05  2.72925D-01  2.72925D-01  2.32905D+33
  1.8983340D+30  6.9299544D+09  1.1329382D+09  1.3613791D+03  2.1742651D-02  2.8148251D+05  2.70218D-01  2.70218D-01  2.29549D+33
  1.8982837D+30  6.9263190D+09  1.3409441D+09  1.4244856D+03  2.4282813D-02  2.9068735D+05  2.67446D-01  2.67446D-01  2.26660D+33
  1.8982239D+30  6.9224565D+09  1.5880089D+09  1.4900269D+03  2.7108696D-02  3.0057621D+05  2.64492D-01  2.64492D-01  2.24227D+33
  1.8981531D+30  6.9183479D+09  1.8816817D+09  1.5580319D+03  3.0249819D-02  3.1089870D+05  2.61525D-01  2.61524D-01  2.22263D+33
  1.8980691D+30  6.9139741D+09  2.2309060D+09  1.6285434D+03  3.3734172D-02  3.2209597D+05  2.58449D-01  2.58449D-01  2.20765D+33
  1.8979694D+30  6.9093128D+09  2.6463874D+09  1.7015919D+03  3.7594953D-02  3.3396455D+05  2.55334D-01  2.55334D-01  2.19736D+33
  1.8978512D+30  6.9043400D+09  3.1409000D+09  1.7772020D+03  4.1864324D-02  3.4651419D+05  2.52172D-01  2.52172D-01  2.19181D+33
  1.8977107D+30  6.8990287D+09  3.7297411D+09  1.8553821D+03  4.6577377D-02  3.6028461D+05  2.48931D-01  2.48931D-01  2.19116D+33
  1.8975441D+30  6.8933500D+09  4.4309715D+09  1.9361552D+03  5.1766341D-02  3.7486678D+05  2.45702D-01  2.45702D-01  2.19535D+33
  1.8973462D+30  6.8872709D+09  5.2662964D+09  2.0195071D+03  5.7467871D-02  3.9049909D+05  2.42418D-01  2.42418D-01  2.20463D+33
  1.8971114D+30  6.8807569D+09  6.2612342D+09  2.1054431D+03  6.3718322D-02  4.0739518D+05  2.39195D-01  2.39195D-01  2.21897D+33
  1.8968329D+30  6.8737692D+09  7.4461384D+09  2.1939431D+03  7.0548696D-02  4.2549995D+05  2.35961D-01  2.35961D-01  2.23851D+33
  1.8965027D+30  6.8662660D+09  8.8567917D+09  2.2849813D+03  7.7992829D-02  4.4499550D+05  2.32785D-01  2.32785D-01  2.26334D+33
  1.8961116D+30  6.8582015D+09  1.0535472D+10  2.3785081D+03  8.6085342D-02  4.6578192D+05  2.29383D-01  2.29383D-01  2.29366D+33
  1.8956485D+30  6.8495223D+09  1.2532765D+10  2.4744024D+03  9.4863555D-02  4.8809635D+05  2.26037D-01  2.26037D-01  2.33005D+33
  1.8951006D+30  6.8401731D+09  1.4907797D+10  2.5725470D+03  1.0436136D-01  5.1188089D+05  2.22069D-01  2.22069D-01  2.37294D+33
  1.8944527D+30  6.8300853D+09  1.7732502D+10  2.6726719D+03  1.1462070D-01  5.3739194D+05  2.18176D-01  2.18176D-01  2.42360D+33
  1.8936883D+30  6.8192046D+09  2.1085564D+10  2.7747383D+03  1.2566075D-01  5.6472168D+05  2.14590D-01  2.14590D-01  2.48169D+33
  1.8927882D+30  6.8074697D+09  2.5058801D+10  2.8786206D+03  1.3749981D-01  5.9375074D+05  2.11402D-01  2.11402D-01  2.54729D+33
  1.8917322D+30  6.7948287D+09  2.9752835D+10  2.9843158D+03  1.5014091D-01  6.2482555D+05  2.08835D-01  2.08835D-01  2.61968D+33
  1.8904982D+30  6.7812324D+09  3.5279114D+10  3.0918318D+03  1.6357917D-01  6.5762139D+05  2.06369D-01  2.06369D-01  2.69796D+33
  1.8890593D+30  6.7666045D+09  4.1774091D+10  3.2007992D+03  1.7782788D-01  6.9239161D+05  2.03524D-01  2.03524D-01  2.78347D+33
  1.8873865D+30  6.7508735D+09  4.9389286D+10  3.3108866D+03  1.9289485D-01  7.2943417D+05  2.00188D-01  2.00188D-01  2.87709D+33
  1.8854455D+30  6.7339467D+09  5.8305756D+10  3.4214754D+03  2.0879492D-01  7.6813173D+05  1.95617D-01  1.95617D-01  2.98127D+33
