M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  2.7540366D+29  2.5439758D+09  2.3691357D+13  1.4482369D+04  3.3542195D+00  3.7449690D+06  3.09912D-01  3.09912D-01  2.58357D+34
  2.6199775D+29  2.4941009D+09  2.4157055D+13  1.4570165D+04  3.3872197D+00  3.7681569D+06  3.11039D-01  3.11039D-01  2.70300D+34
  2.4888093D+29  2.4437930D+09  2.4626539D+13  1.4657807D+04  3.4200842D+00  3.7910046D+06  3.12081D-01  3.12081D-01  2.83200D+34
  2.3605904D+29  2.3930288D+09  2.5099817D+13  1.4745281D+04  3.4528203D+00  3.8135166D+06  3.13039D-01  3.13039D-01  2.97164D+34
  2.2353797D+29  2.3417840D+09  2.5576907D+13  1.4832576D+04  3.4854355D+00  3.8356983D+06  3.13916D-01  3.13916D-01  3.12312D+34
  2.1132368D+29  2.2900327D+09  2.6057840D+13  1.4919682D+04  3.5179381D+00  3.8575561D+06  3.14714D-01  3.14714D-01  3.28784D+34
  1.9942218D+29  2.2377475D+09  2.6542662D+13  1.5006595D+04  3.5503370D+00  3.8790976D+06  3.15435D-01  3.15435D-01  3.46737D+34
  1.8783957D+29  2.1848992D+09  2.7031441D+13  1.5093311D+04  3.5826421D+00  3.9003313D+06  3.16082D-01  3.16082D-01  3.66355D+34
  1.7658198D+29  2.1314567D+09  2.7524268D+13  1.5179833D+04  3.6148644D+00  3.9212667D+06  3.16658D-01  3.16658D-01  3.87846D+34
  1.6565566D+29  2.0773868D+09  2.8021261D+13  1.5266169D+04  3.6470165D+00  3.9419147D+06  3.17164D-01  3.17164D-01  4.11452D+34
  1.5506689D+29  2.0226539D+09  2.8522576D+13  1.5352330D+04  3.6791123D+00  3.9622874D+06  3.17602D-01  3.17602D-01  4.37452D+34
  1.4482206D+29  1.9672198D+09  2.9028411D+13  1.5438338D+04  3.7111688D+00  3.9822824D+06  3.17979D-01  3.17979D-01  4.66170D+34
  1.3492764D+29  1.9110436D+09  2.9539021D+13  1.5524221D+04  3.7432086D+00  4.0018261D+06  3.18307D-01  3.18307D-01  4.97982D+34
  1.2539015D+29  1.8540809D+09  3.0054723D+13  1.5610021D+04  3.7752554D+00  4.0211296D+06  3.18580D-01  3.18580D-01  5.33327D+34
  1.1621622D+29  1.7962837D+09  3.0575923D+13  1.5695789D+04  3.8073362D+00  4.0402135D+06  3.18802D-01  3.18802D-01  5.72715D+34
  1.0741253D+29  1.7376003D+09  3.1103130D+13  1.5781591D+04  3.8394831D+00  4.0591010D+06  3.18973D-01  3.18973D-01  6.16743D+34
  9.8985839D+28  1.6779740D+09  3.1636989D+13  1.5867512D+04  3.8717355D+00  4.0777931D+06  3.19062D-01  3.19062D-01  6.66108D+34
  9.0942851D+28  1.6173425D+09  3.2178323D+13  1.5953633D+04  3.9041427D+00  4.0963081D+06  3.19021D-01  3.19021D-01  7.21630D+34
  8.3290519D+28  1.5556390D+09  3.2728165D+13  1.6040095D+04  3.9367632D+00  4.1148084D+06  3.18996D-01  3.18996D-01  7.84254D+34
  7.6035928D+28  1.4927916D+09  3.3287827D+13  1.6127086D+04  3.9696689D+00  4.1333333D+06  3.18986D-01  3.18986D-01  8.55069D+34
  6.9186205D+28  1.4287217D+09  3.3858994D+13  1.6214843D+04  4.0029507D+00  4.1519316D+06  3.18988D-01  3.18988D-01  9.35323D+34
  6.2748517D+28  1.3633449D+09  3.4443847D+13  1.6303667D+04  4.0367250D+00  4.1706643D+06  3.19001D-01  3.19001D-01  1.02642D+35
  5.6730048D+28  1.2965703D+09  3.5045229D+13  1.6393942D+04  4.0711414D+00  4.1896094D+06  3.19025D-01  3.19025D-01  1.12990D+35
  5.1137979D+28  1.2283021D+09  3.5666889D+13  1.6486167D+04  4.1063954D+00  4.2088667D+06  3.19058D-01  3.19058D-01  1.24739D+35
  4.5979430D+28  1.1584422D+09  3.6313821D+13  1.6580997D+04  4.1427446D+00  4.2285668D+06  3.19098D-01  3.19098D-01  1.38046D+35
  4.1261373D+28  1.0868949D+09  3.6992770D+13  1.6679304D+04  4.1805334D+00  4.2488820D+06  3.19145D-01  3.19145D-01  1.53045D+35
  3.6990463D+28  1.0135766D+09  3.7712974D+13  1.6782268D+04  4.2202290D+00  4.2700436D+06  3.19198D-01  3.19198D-01  1.69807D+35
  3.3172742D+28  9.3843262D+08  3.8487280D+13  1.6891508D+04  4.2624755D+00  4.2921314D+06  3.19352D-01  3.19352D-01  1.88287D+35
  2.9813172D+28  8.6146910D+08  3.9333820D+13  1.7009325D+04  4.3081762D+00  4.3156306D+06  3.19591D-01  3.19591D-01  2.08242D+35
  2.6914420D+28  7.8279690D+08  4.0278657D+13  1.7138904D+04  4.3586056D+00  4.3412909D+06  3.19856D-01  3.19856D-01  2.29148D+35
  2.6914420D+28  7.8279690D+08  4.0278657D+13  0.0000000D+00  9.5934432D+00  3.1786786D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.6241559D+28  7.7359271D+08  4.0536072D+13  0.0000000D+00  9.6188726D+00  3.1845682D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.5568699D+28  7.6418955D+08  4.0799350D+13  0.0000000D+00  9.6447842D+00  3.1905767D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.4895838D+28  7.5457557D+08  4.1068893D+13  0.0000000D+00  9.6712117D+00  3.1967126D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.4222978D+28  7.4473772D+08  4.1345147D+13  0.0000000D+00  9.6981921D+00  3.2029852D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.3550117D+28  7.3466162D+08  4.1628612D+13  0.0000000D+00  9.7257674D+00  3.2094048D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.2877257D+28  7.2433137D+08  4.1919850D+13  0.0000000D+00  9.7539842D+00  3.2159832D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.2204396D+28  7.1372930D+08  4.2219494D+13  0.0000000D+00  9.7828956D+00  3.2227337D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.1531536D+28  7.0283570D+08  4.2528267D+13  0.0000000D+00  9.8125614D+00  3.2296712D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.0858675D+28  6.9162848D+08  4.2846992D+13  0.0000000D+00  9.8430502D+00  3.2368128D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.0185815D+28  6.8008274D+08  4.3176616D+13  0.0000000D+00  9.8744405D+00  3.2441784D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.9512954D+28  6.6817029D+08  4.3518235D+13  0.0000000D+00  9.9068232D+00  3.2517907D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.8840094D+28  6.5585897D+08  4.3873129D+13  0.0000000D+00  9.9403044D+00  3.2596763D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.8167233D+28  6.4311190D+08  4.4242803D+13  0.0000000D+00  9.9750084D+00  3.2678664D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.7494373D+28  6.2988641D+08  4.4629046D+13  0.0000000D+00  1.0011083D+01  3.2763983D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.6821512D+28  6.1613276D+08  4.5034007D+13  0.0000000D+00  1.0048705D+01  3.2853165D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.6148652D+28  6.0179237D+08  4.5460295D+13  0.0000000D+00  1.0088088D+01  3.2946751D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.5475791D+28  5.8679557D+08  4.5911125D+13  0.0000000D+00  1.0129496D+01  3.3045407D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.4802931D+28  5.7105844D+08  4.6390518D+13  0.0000000D+00  1.0173258D+01  3.3149964D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.4130070D+28  5.5447847D+08  4.6903593D+13  0.0000000D+00  1.0219791D+01  3.3261481D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.3457210D+28  5.3692843D+08  4.7457008D+13  0.0000000D+00  1.0269634D+01  3.3381331D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.3457210D+28  5.3692843D+08  4.7457008D+13  0.0000000D+00  1.9662017D+01  2.4574570D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.1442258D+28  5.0723572D+08  4.9239141D+13  0.0000000D+00  1.9954139D+01  2.4824426D+06  0.00000D+00  0.00000D+00  0.00000D+00
  9.6391999D+27  4.7780153D+08  5.0943443D+13  0.0000000D+00  2.0228094D+01  2.5059778D+06  0.00000D+00  0.00000D+00  0.00000D+00
  8.0362635D+27  4.4860349D+08  5.2566718D+13  0.0000000D+00  2.0484314D+01  2.5280995D+06  0.00000D+00  0.00000D+00  0.00000D+00
  6.6216771D+27  4.1962092D+08  5.4105991D+13  0.0000000D+00  2.0723191D+01  2.5488358D+06  0.00000D+00  0.00000D+00  0.00000D+00
  5.3836687D+27  3.9083466D+08  5.5558491D+13  0.0000000D+00  2.0945082D+01  2.5682070D+06  0.00000D+00  0.00000D+00  0.00000D+00
  4.3104665D+27  3.6222685D+08  5.6921653D+13  0.0000000D+00  2.1150314D+01  2.5862279D+06  0.00000D+00  0.00000D+00  0.00000D+00
  3.3902987D+27  3.3378076D+08  5.8193109D+13  0.0000000D+00  2.1339188D+01  2.6029084D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.6113932D+27  3.0548068D+08  5.9370684D+13  0.0000000D+00  2.1511977D+01  2.6182550D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.9619784D+27  2.7731175D+08  6.0452391D+13  0.0000000D+00  2.1668928D+01  2.6322712D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.4302823D+27  2.4925988D+08  6.1436430D+13  0.0000000D+00  2.1810267D+01  2.6449585D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.0045329D+27  2.2131165D+08  6.2321180D+13  0.0000000D+00  2.1936194D+01  2.6563170D+06  0.00000D+00  0.00000D+00  0.00000D+00
  6.7295859D+26  1.9345421D+08  6.3105199D+13  0.0000000D+00  2.2046890D+01  2.6663458D+06  0.00000D+00  0.00000D+00  0.00000D+00
  4.2378733D+26  1.6567518D+08  6.3787222D+13  0.0000000D+00  2.2142510D+01  2.6750431D+06  0.00000D+00  0.00000D+00  0.00000D+00
  2.4524730D+26  1.3796263D+08  6.4366156D+13  0.0000000D+00  2.2223192D+01  2.6824069D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.2556662D+26  1.1030497D+08  6.4841079D+13  0.0000000D+00  2.2289048D+01  2.6884354D+06  0.00000D+00  0.00000D+00  0.00000D+00
  5.2973417D+25  8.2690889D+07  6.5211241D+13  0.0000000D+00  2.2340173D+01  2.6931264D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.5695827D+25  5.5109295D+07  6.5476057D+13  0.0000000D+00  2.2376640D+01  2.6964784D+06  0.00000D+00  0.00000D+00  0.00000D+00
  1.9619784D+24  2.7549269D+07  6.5635113D+13  0.0000000D+00  2.2398499D+01  2.6984901D+06  0.00000D+00  0.00000D+00  0.00000D+00
  0.0000000D+00  0.0000000D+00  6.5688160D+13  0.0000000D+00  2.2405782D+01  2.6991608D+06  0.00000D+00  0.00000D+00  0.00000D+00
