  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8985487D+30  6.9585670D+09  2.5267214D+08  8.9243879D+02  7.7829968D-03  2.1829824D+05  2.88727D-01  2.88727D-01  2.77192D+33
  1.8985376D+30  6.9563397D+09  2.9791163D+08  9.3580618D+02  8.7058087D-03  2.2443985D+05  2.87292D-01  2.87291D-01  2.70323D+33
  1.8985244D+30  6.9539886D+09  3.5136530D+08  9.8111432D+02  9.7373453D-03  2.3074815D+05  2.85713D-01  2.85713D-01  2.63890D+33
  1.8985089D+30  6.9515059D+09  4.1454168D+08  1.0284378D+03  1.0889535D-02  2.3742431D+05  2.83927D-01  2.83927D-01  2.57871D+33
  1.8984905D+30  6.9488818D+09  4.8927759D+08  1.0778231D+03  1.2177470D-02  2.4431506D+05  2.81984D-01  2.81984D-01  2.52299D+33
  1.8984689D+30  6.9461067D+09  5.7772793D+08  1.1293386D+03  1.3615791D-02  2.5149589D+05  2.79817D-01  2.79817D-01  2.47162D+33
  1.8984432D+30  6.9431692D+09  6.8250641D+08  1.1830288D+03  1.5223036D-02  2.5910374D+05  2.77526D-01  2.77526D-01  2.42486D+33
  1.8984129D+30  6.9400581D+09  8.0668371D+08  1.2389615D+03  1.7016950D-02  2.6697512D+05  2.75085D-01  2.75085D-01  2.38254D+33
  1.8983770D+30  6.9367599D+09  9.5398051D+08  1.2971798D+03  1.9018607D-02  2.7541419D+05  2.72525D-01  2.72525D-01  2.34485D+33
  1.8983345D+30  6.9332610D+09  1.1287812D+09  1.3577486D+03  2.1250884D-02  2.8421395D+05  2.69806D-01  2.69806D-01  2.31163D+33
  1.8982841D+30  6.9295450D+09  1.3364235D+09  1.4206984D+03  2.3737803D-02  2.9354228D+05  2.67003D-01  2.67003D-01  2.28314D+33
  1.8982243D+30  6.9255955D+09  1.5831918D+09  1.4860878D+03  2.6505350D-02  3.0356598D+05  2.64031D-01  2.64031D-01  2.25926D+33
  1.8981534D+30  6.9213928D+09  1.8767013D+09  1.5539451D+03  2.9582757D-02  3.1402780D+05  2.61032D-01  2.61032D-01  2.24016D+33
  1.8980693D+30  6.9169166D+09  2.2259731D+09  1.6243167D+03  3.2997793D-02  3.2540052D+05  2.57928D-01  2.57928D-01  2.22578D+33
  1.8979694D+30  6.9121440D+09  2.6418347D+09  1.6972344D+03  3.6783315D-02  3.3745208D+05  2.54780D-01  2.54780D-01  2.21619D+33
  1.8978507D+30  6.9070494D+09  3.1372240D+09  1.7727253D+03  4.0971316D-02  3.5021459D+05  2.51592D-01  2.51592D-01  2.21144D+33
  1.8977097D+30  6.9016046D+09  3.7276597D+09  1.8508019D+03  4.5596683D-02  3.6422225D+05  2.48315D-01  2.48315D-01  2.21169D+33
  1.8975422D+30  6.8957793D+09  4.4315168D+09  1.9314896D+03  5.0691544D-02  3.7907717D+05  2.45060D-01  2.45060D-01  2.21692D+33
  1.8973431D+30  6.8895383D+09  5.2709085D+09  2.0147795D+03  5.6292418D-02  3.9501256D+05  2.41738D-01  2.41738D-01  2.22735D+33
  1.8971066D+30  6.8828451D+09  6.2719297D+09  2.1006798D+03  6.2435862D-02  4.1225896D+05  2.38490D-01  2.38490D-01  2.24299D+33
  1.8968257D+30  6.8756586D+09  7.4656615D+09  2.1891777D+03  6.9152928D-02  4.3075576D+05  2.35216D-01  2.35216D-01  2.26399D+33
  1.8964922D+30  6.8679339D+09  8.8889186D+09  2.2802500D+03  7.6478136D-02  4.5068946D+05  2.32003D-01  2.32003D-01  2.29048D+33
  1.8960967D+30  6.8596218D+09  1.0585270D+10  2.3738557D+03  8.4446405D-02  4.7197531D+05  2.28571D-01  2.28571D-01  2.32264D+33
  1.8956276D+30  6.8506650D+09  1.2607112D+10  2.4698771D+03  9.3096092D-02  4.9485036D+05  2.25179D-01  2.25179D-01  2.36113D+33
  1.8950717D+30  6.8410035D+09  1.5015892D+10  2.5682033D+03  1.0246214D-01  5.1926451D+05  2.21166D-01  2.21166D-01  2.40639D+33
  1.8944131D+30  6.8305627D+09  1.7886726D+10  2.6685676D+03  1.1258823D-01  5.4547627D+05  2.17231D-01  2.17231D-01  2.45981D+33
  1.8936343D+30  6.8192831D+09  2.1302117D+10  2.7709415D+03  1.2349483D-01  5.7362340D+05  2.13614D-01  2.13614D-01  2.52101D+33
  1.8927157D+30  6.8070980D+09  2.5358491D+10  2.8752200D+03  1.3520131D-01  6.0353326D+05  2.10414D-01  2.10414D-01  2.59007D+33
  1.8916354D+30  6.7939478D+09  3.0162833D+10  2.9813950D+03  1.4771343D-01  6.3558562D+05  2.07852D-01  2.07852D-01  2.66634D+33
  1.8903702D+30  6.7797782D+09  3.5833377D+10  3.0895008D+03  1.6102762D-01  6.6953199D+05  2.05352D-01  2.05352D-01  2.74882D+33
  1.8888913D+30  6.7645022D+09  4.2516736D+10  3.1991548D+03  1.7516112D-01  7.0550075D+05  2.02445D-01  2.02445D-01  2.83903D+33
  1.8871674D+30  6.7480370D+09  5.0377129D+10  3.3100089D+03  1.9012471D-01  7.4398180D+05  1.98999D-01  1.98999D-01  2.93809D+33
  1.8851612D+30  6.7302763D+09  5.9611710D+10  3.4214293D+03  2.0594118D-01  7.8420571D+05  1.94283D-01  1.94283D-01  3.04867D+33
  1.8828325D+30  6.7111187D+09  7.0441278D+10  3.5328093D+03  2.2261840D-01  8.2704646D+05  1.89990D-01  1.89990D-01  3.17317D+33
  1.8801469D+30  6.6905360D+09  8.3067321D+10  3.6442734D+03  2.4011411D-01  8.7202808D+05  1.86972D-01  1.86972D-01  3.30943D+33
  1.8770698D+30  6.6685039D+09  9.7703423D+10  3.7558552D+03  2.5836349D-01  9.1858807D+05  1.85226D-01  1.85226D-01  3.45583D+33
  1.8735711D+30  6.6450339D+09  1.1455125D+11  3.8678128D+03  2.7730915D-01  9.6745777D+05  1.84015D-01  1.84015D-01  3.60933D+33
  1.8696201D+30  6.6201279D+09  1.3382657D+11  3.9801621D+03  2.9689785D-01  1.0163608D+06  1.84145D-01  1.84145D-01  3.76829D+33
  1.8651857D+30  6.5937843D+09  1.5575846D+11  4.0927409D+03  3.1709585D-01  1.0672868D+06  1.83637D-01  1.83637D-01  3.93216D+33
  1.8602418D+30  6.5660239D+09  1.8056507D+11  4.2054970D+03  3.3786763D-01  1.1182568D+06  1.84183D-01  1.84183D-01  4.09971D+33
  1.8547664D+30  6.5368844D+09  2.0845383D+11  4.3184214D+03  3.5915160D-01  1.1706985D+06  1.84986D-01  1.84986D-01  4.26952D+33
  1.8487435D+30  6.5064183D+09  2.3961559D+11  4.4315625D+03  3.8088980D-01  1.2238781D+06  1.86410D-01  1.86410D-01  4.43986D+33
  1.8421609D+30  6.4746825D+09  2.7423061D+11  4.5449383D+03  4.0300102D-01  1.2776595D+06  1.88190D-01  1.88190D-01  4.60930D+33
  1.8350119D+30  6.4417439D+09  3.1246058D+11  4.6586036D+03  4.2548532D-01  1.3301118D+06  1.90440D-01  1.90440D-01  4.77630D+33
  1.8272930D+30  6.4076713D+09  3.5445819D+11  4.7725727D+03  4.4829856D-01  1.3825656D+06  1.92583D-01  1.92583D-01  4.93975D+33
  1.8189889D+30  6.3724718D+09  4.0045094D+11  4.8862450D+03  4.7152797D-01  1.4314618D+06  1.93428D-01  1.93428D-01  5.10242D+33
  1.8100959D+30  6.3362005D+09  4.5061257D+11  4.9994295D+03  4.9518120D-01  1.4808866D+06  1.94786D-01  1.94786D-01  5.26475D+33
  1.8006295D+30  6.2989757D+09  5.0501762D+11  5.1125311D+03  5.1922800D-01  1.5266299D+06  1.97847D-01  1.97847D-01  5.42371D+33
  1.7906045D+30  6.2609023D+09  5.6374076D+11  5.2258245D+03  5.4369551D-01  1.5714857D+06  2.00519D-01  2.00519D-01  5.57723D+33
  1.7800228D+30  6.2220233D+09  6.2693932D+11  5.3390134D+03  5.6857566D-01  1.6150991D+06  2.03212D-01  2.03212D-01  5.72683D+33
  1.7689056D+30  6.1824439D+09  6.9465734D+11  5.4524327D+03  5.9388061D-01  1.6564133D+06  2.06778D-01  2.06778D-01  5.87034D+33
  1.7572704D+30  6.1422475D+09  7.6695751D+11  5.5662376D+03  6.1958725D-01  1.6974683D+06  2.10558D-01  2.10558D-01  6.00681D+33
  1.7451320D+30  6.1014960D+09  8.4392109D+11  5.6804318D+03  6.4567709D-01  1.7368414D+06  2.13882D-01  2.13882D-01  6.13630D+33
  1.7324957D+30  6.0602154D+09  9.2568936D+11  5.7946947D+03  6.7219322D-01  1.7750210D+06  2.16830D-01  2.16830D-01  6.26079D+33
  1.7193754D+30  6.0184565D+09  1.0123503D+12  5.9089860D+03  6.9912234D-01  1.8124907D+06  2.19660D-01  2.19660D-01  6.38067D+33
  1.7057861D+30  5.9762673D+09  1.1039847D+12  6.0232823D+03  7.2646308D-01  1.8484499D+06  2.22748D-01  2.22748D-01  6.49627D+33
  1.6917495D+30  5.9337121D+09  1.2006261D+12  6.1377654D+03  7.5422190D-01  1.8829589D+06  2.26011D-01  2.26011D-01  6.60676D+33
  1.6772817D+30  5.8908340D+09  1.3023409D+12  6.2524410D+03  7.8240390D-01  1.9162927D+06  2.29289D-01  2.29289D-01  6.71241D+33
  1.6623997D+30  5.8476748D+09  1.4091876D+12  6.3673382D+03  8.1100906D-01  1.9491009D+06  2.32939D-01  2.32939D-01  6.81334D+33
  1.6471298D+30  5.8042984D+09  1.5211525D+12  6.4827757D+03  8.3999275D-01  1.9815847D+06  2.37095D-01  2.37095D-01  6.90811D+33
  1.6314895D+30  5.7607392D+09  1.6382760D+12  6.5988056D+03  8.6934458D-01  2.0133519D+06  2.41241D-01  2.41241D-01  6.99680D+33
  1.6165423D+30  5.7198630D+09  1.7525208D+12  6.7078620D+03  8.9711852D-01  2.0424245D+06  2.45091D-01  2.45091D-01  7.07446D+33
  1.6165409D+30  5.7198593D+09  1.7525319D+12  6.7078724D+03  9.4225934D-01  1.9907953D+06  2.44355D-01  2.44355D-01  7.07461D+33
  1.6093885D+30  5.7014719D+09  1.8079769D+12  6.7593009D+03  9.5615192D-01  2.0039861D+06  2.46074D-01  2.46074D-01  7.11022D+33
  1.5926572D+30  5.6590235D+09  1.9395497D+12  6.8781682D+03  9.8842535D-01  2.0340536D+06  2.50280D-01  2.50280D-01  7.18862D+33
  1.5755864D+30  5.6164782D+09  2.0764902D+12  6.9976342D+03  1.0210274D+00  2.0653819D+06  2.54615D-01  2.54615D-01  7.26174D+33
  1.5581933D+30  5.5738564D+09  2.2188097D+12  7.1177368D+03  1.0538745D+00  2.0976183D+06  2.58725D-01  2.58725D-01  7.32975D+33
  1.5404896D+30  5.5311610D+09  2.3665649D+12  7.2383359D+03  1.0869422D+00  2.1299707D+06  2.62417D-01  2.62417D-01  7.39372D+33
  1.5224870D+30  5.4883942D+09  2.5198095D+12  7.3592976D+03  1.1202063D+00  2.1627864D+06  2.65805D-01  2.65805D-01  7.45464D+33
  1.5041976D+30  5.4455580D+09  2.6785907D+12  7.4805072D+03  1.1536374D+00  2.1958322D+06  2.68760D-01  2.68760D-01  7.51338D+33
  1.4856318D+30  5.4026492D+09  2.8429695D+12  7.6017960D+03  1.1872193D+00  2.2288351D+06  2.71273D-01  2.71273D-01  7.57102D+33
  1.4668023D+30  5.3596696D+09  3.0129845D+12  7.7230737D+03  1.2209618D+00  2.2603419D+06  2.73740D-01  2.73740D-01  7.62821D+33
  1.4477241D+30  5.3166272D+09  3.1886483D+12  7.8443380D+03  1.2548779D+00  2.2911840D+06  2.76150D-01  2.76150D-01  7.68518D+33
  1.4284125D+30  5.2735307D+09  3.3699661D+12  7.9656073D+03  1.2889586D+00  2.3217820D+06  2.78620D-01  2.78620D-01  7.74202D+33
  1.4088822D+30  5.2303861D+09  3.5569464D+12  8.0868801D+03  1.3231980D+00  2.3518231D+06  2.80987D-01  2.80987D-01  7.79896D+33
