  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.6847487D+29  2.1761771D+09  2.7066300D+13  1.4946120D+04  3.6502403D+00  3.8664201D+06  3.14221D-01  3.14221D-01  4.25342D+34
  1.5630399D+29  2.1189008D+09  2.7549657D+13  1.5029569D+04  3.6824024D+00  3.8869237D+06  3.14869D-01  3.14869D-01  4.56371D+34
  1.4452517D+29  2.0608756D+09  2.8032798D+13  1.5112145D+04  3.7142164D+00  3.9069844D+06  3.15445D-01  3.15445D-01  4.91334D+34
  1.3314670D+29  2.0020557D+09  2.8515344D+13  1.5193792D+04  3.7456702D+00  3.9266029D+06  3.15952D-01  3.15952D-01  5.30935D+34
  1.2217701D+29  1.9423917D+09  2.8996889D+13  1.5274453D+04  3.7767503D+00  3.9456852D+06  3.16396D-01  3.16396D-01  5.76046D+34
  1.1162461D+29  1.8818296D+09  2.9476988D+13  1.5354071D+04  3.8074444D+00  3.9641251D+06  3.16785D-01  3.16785D-01  6.27751D+34
  1.0149812D+29  1.8203109D+09  2.9955161D+13  1.5432583D+04  3.8377356D+00  3.9821152D+06  3.17123D-01  3.17123D-01  6.87412D+34
  9.1806215D+28  1.7577715D+09  3.0430883D+13  1.5509925D+04  3.8676039D+00  3.9996553D+06  3.17410D-01  3.17410D-01  7.56766D+34
  8.2557667D+28  1.6941410D+09  3.0903580D+13  1.5586024D+04  3.8970264D+00  4.0167438D+06  3.17652D-01  3.17652D-01  8.38047D+34
  7.3761284D+28  1.6293418D+09  3.1372623D+13  1.5660806D+04  3.9259774D+00  4.0333780D+06  3.17849D-01  3.17849D-01  9.34166D+34
  6.5425899D+28  1.5632879D+09  3.1837319D+13  1.5734188D+04  3.9544277D+00  4.0495536D+06  3.18006D-01  3.18006D-01  1.04898D+35
  5.7560331D+28  1.4958834D+09  3.2296899D+13  1.5806077D+04  3.9823442D+00  4.0652642D+06  3.18126D-01  3.18126D-01  1.18768D+35
  5.0173337D+28  1.4270212D+09  3.2750510D+13  1.5876375D+04  4.0096891D+00  4.0804861D+06  3.18175D-01  3.18175D-01  1.35737D+35
  4.3273472D+28  1.3565798D+09  3.3197205D+13  1.5944954D+04  4.0364202D+00  4.0952379D+06  3.18166D-01  3.18166D-01  1.56800D+35
  3.6869185D+28  1.2844228D+09  3.3635909D+13  1.6011696D+04  4.0624875D+00  4.1095409D+06  3.18165D-01  3.18165D-01  1.83379D+35
  3.0968575D+28  1.2103946D+09  3.4065409D+13  1.6076466D+04  4.0878338D+00  4.1233710D+06  3.18172D-01  3.18172D-01  2.17565D+35
  2.5579206D+28  1.1343164D+09  3.4484326D+13  1.6139108D+04  4.1123933D+00  4.1366996D+06  3.18185D-01  3.18185D-01  2.62527D+35
  2.0707888D+28  1.0559806D+09  3.4891077D+13  1.6199438D+04  4.1360894D+00  4.1494929D+06  3.18203D-01  3.18203D-01  3.23249D+35
  1.6360344D+28  9.7514407D+08  3.5283833D+13  1.6257244D+04  4.1588327D+00  4.1617106D+06  3.18224D-01  3.18224D-01  4.07900D+35
  1.2540769D+28  8.9151853D+08  3.5660456D+13  1.6312268D+04  4.1805173D+00  4.1733044D+06  3.18248D-01  3.18248D-01  5.30595D+35
  9.2511812D+27  8.0475762D+08  3.6018421D+13  1.6364204D+04  4.2010169D+00  4.1842153D+06  3.18272D-01  3.18272D-01  7.17309D+35
  6.4904877D+27  7.1443777D+08  3.6354708D+13  1.6412679D+04  4.2201784D+00  4.1943710D+06  3.18297D-01  3.18297D-01  1.01982D+36
  4.2530959D+27  6.2002904D+08  3.6665647D+13  1.6457232D+04  4.2378134D+00  4.2036813D+06  3.18322D-01  3.18322D-01  1.55269D+36
  2.5268018D+27  5.2084591D+08  3.6946700D+13  1.6497286D+04  4.2536867D+00  4.2120318D+06  3.18345D-01  3.18345D-01  2.60803D+36
  1.2894783D+27  4.1595026D+08  3.7192141D+13  1.6532096D+04  4.2674974D+00  4.2192745D+06  3.18365D-01  3.18365D-01  5.10133D+36
  5.0369246D+26  3.0389714D+08  3.7394566D+13  1.6560690D+04  4.2788521D+00  4.2252135D+06  3.18383D-01  3.18383D-01  1.30403D+37
  1.0760031D+26  1.8159527D+08  3.7544125D+13  1.6581750D+04  4.2872210D+00  4.2295817D+06  3.18396D-01  3.18396D-01  6.09769D+37
  0.0000000D+00  0.0000000D+00  3.7627389D+13  1.6593450D+04  4.2918727D+00  4.2320063D+06  3.18403D-01  3.18403D-01  3.45366D+33
